"Category","SizeMB","AuthoredDate","Ext","Name","RelPath"
"_TUTORIALS","1657.4","2024-04-24",".mp4","DJ - FINAL FINAL FINAL - 1080.mp4","_TUTORIALS\DJ\DJ - FINAL FINAL FINAL - 1080.mp4"
"_TUTORIALS","2275.6","2024-05-05",".mp4","9.1 - EK - Tog-Opp - 1080p.mp4","_TUTORIALS\EK\Final Videos\1080\9.1 - EK - Tog-Opp - 1080p.mp4"
"_TUTORIALS","2175","2024-05-07",".mp4","EK - Split-Opp - 1080p.mp4","_TUTORIALS\EK\Final Videos\1080\EK - Split-Opp - 1080p.mp4"
"_TUTORIALS","568.8","2024-04-20",".mp4","1. The Grid.mp4","_TUTORIALS\First series - 1 thru 7\Individual Vids - HD\1. The Grid.mp4"
"_TUTORIALS","428","2024-04-20",".mp4","2. Positions.mp4","_TUTORIALS\First series - 1 thru 7\Individual Vids - HD\2. Positions.mp4"
"_TUTORIALS","435.3","2024-04-20",".mp4","3. Letter A.mp4","_TUTORIALS\First series - 1 thru 7\Individual Vids - HD\3. Letter A.mp4"
"_TUTORIALS","720.9","2024-04-20",".mp4","4. Letter B (front facing).mp4","_TUTORIALS\First series - 1 thru 7\Individual Vids - HD\4. Letter B (front facing).mp4"
"_TUTORIALS","963.1","2024-04-20",".mp4","5. Letter B (body turns).mp4","_TUTORIALS\First series - 1 thru 7\Individual Vids - HD\5. Letter B (body turns).mp4"
"_TUTORIALS","1229.6","2024-04-20",".mp4","6. Letter C.mp4","_TUTORIALS\First series - 1 thru 7\Individual Vids - HD\6. Letter C.mp4"
"_TUTORIALS","221","2024-04-20",".mp4","7. Wrap Up.mp4","_TUTORIALS\First series - 1 thru 7\Individual Vids - HD\7. Wrap Up.mp4"
"_TUTORIALS","0","2024-04-19",".mp4","TKA_tut_full_fixed_audio.mp4","_TUTORIALS\First series - 1 thru 7\TKA_tut_full_fixed_audio.mp4"
"_WORD_VIDEOS","645","2024-05-23",".mp4","kinetic fire 2024 words with friends.mp4","_WORD_VIDEOS\kinetic fire 2024 words with friends.mp4"
"_WORD_VIDEOS","3.6","2024-12-28",".mp4","OmLam-XJ.mp4","_WORD_VIDEOS\OmLam-XJ.mp4"
"_WORD_VIDEOS","82.4","2023-06-20",".mov","ALIΦ.mov","_WORD_VIDEOS\Word Recordings Summer 2024\ALIΦ.mov"
"_WORD_VIDEOS","162.5","2023-06-22",".mp4","Austen Cloud Reel.mp4","_WORD_VIDEOS\Word Recordings Summer 2024\D(1,0)_C(0,1)_K_Ψ-(o,1,1)\Austen Cloud Reel.mp4"
"_WORD_VIDEOS","365.6","2023-06-22",".mp4","D(1,0)_C(0,1)_K_Ψ-(o,1,1)_merged.mp4","_WORD_VIDEOS\Word Recordings Summer 2024\D(1,0)_C(0,1)_K_Ψ-(o,1,1)\D(1,0)_C(0,1)_K_Ψ-(o,1,1)_merged.mp4"
"_WORD_VIDEOS","107.1","2023-07-02",".mp4","D(1,0)_C(0,1)_K_Ψ-(o,1,1)_output.mp4","_WORD_VIDEOS\Word Recordings Summer 2024\D(1,0)_C(0,1)_K_Ψ-(o,1,1)\D(1,0)_C(0,1)_K_Ψ-(o,1,1)_output.mp4"
"_WORD_VIDEOS","456.2","2023-06-22",".mp4","D(1,0)_C(0,1)_K_Ψ-(o,1,1).mp4","_WORD_VIDEOS\Word Recordings Summer 2024\D(1,0)_C(0,1)_K_Ψ-(o,1,1)\D(1,0)_C(0,1)_K_Ψ-(o,1,1).mp4"
"_WORD_VIDEOS","157.7","2023-06-23",".mp4","EΨIΦJΦOΨ_DΨIΦKΦOΨ_(o,1,1)_mirrored.mp4","_WORD_VIDEOS\Word Recordings Summer 2024\EΨIΦJΦOΨ_DΨIΦKΦOΨ_(o,1,1)\EΨIΦJΦOΨ_DΨIΦKΦOΨ_(o,1,1)_mirrored.mp4"
"_WORD_VIDEOS","133.1","2023-06-23",".mp4","EΨIΦJΦOΨ_DΨIΦKΦOΨ_(o,1,1)_output.mp4","_WORD_VIDEOS\Word Recordings Summer 2024\EΨIΦJΦOΨ_DΨIΦKΦOΨ_(o,1,1)\EΨIΦJΦOΨ_DΨIΦKΦOΨ_(o,1,1)_output.mp4"
"_WORD_VIDEOS","570.7","2023-06-23",".mp4","EΨIΦJΦOΨ_DΨIΦKΦOΨ_(o,1,1).mp4","_WORD_VIDEOS\Word Recordings Summer 2024\EΨIΦJΦOΨ_DΨIΦKΦOΨ_(o,1,1)\EΨIΦJΦOΨ_DΨIΦKΦOΨ_(o,1,1).mp4"
"_WORD_VIDEOS","389.4","2023-06-23",".mp4","EΨIΦJΦOΨ_DΨIΦKΦOΨ_merged.mp4","_WORD_VIDEOS\Word Recordings Summer 2024\EΨIΦJΦOΨ_DΨIΦKΦOΨ_(o,1,1)\EΨIΦJΦOΨ_DΨIΦKΦOΨ_merged.mp4"
"_WORD_VIDEOS","63","2023-06-12",".mp4","K(1,1)_Ψ-(o,1,1)_E(1,1)_Φ-(o,1,1_output.mp4","_WORD_VIDEOS\Word Recordings Summer 2024\K(1,1)_Ψ-(o,1,1)_E(1,1)_Φ-(o,1,1_output.mp4"
"_WORD_VIDEOS","36.7","2023-06-12",".mp4","KpsiEphi.mp4","_WORD_VIDEOS\Word Recordings Summer 2024\KpsiEphi.mp4"
"_WORD_VIDEOS","75.7","2023-06-20",".avi","A(1,1)_L_I_Ψ-(o,1,1)_I_Φ(fixed)_output.avi","_WORD_VIDEOS\Word Recordings Summer 2024\Posted\A(1,1)_L_I_Ψ-(o,1,1)_I_Φ\A(1,1)_L_I_Ψ-(o,1,1)_I_Φ(fixed)_output.avi"
"_WORD_VIDEOS","37.8","2023-06-20",".mp4","A(1,1)_L_I_Ψ-(o,1,1)_I_Φ(fixed)_output.mp4","_WORD_VIDEOS\Word Recordings Summer 2024\Posted\A(1,1)_L_I_Ψ-(o,1,1)_I_Φ\A(1,1)_L_I_Ψ-(o,1,1)_I_Φ(fixed)_output.mp4"
