letter,startPosition,endPosition,timing,direction,blueMotionType,blueRotationDirection,blueSkewDir,blueHandPath,blueSkewSteps,blueStartLocation,blueEndLocation,redMotionType,redRotationDirection,redSkewDir,redHandPath,redSkewSteps,redStartLocation,redEndLocation,category
A,alpha3,alpha6,split,same,pro,cw,+,cw,1,w,ne,pro,cw,+,cw,1,e,sw,2
A,alpha3,gamma4,split,same,pro,cw,+,cw,1,w,ne,pro,cw,-,cw,1,e,se,2
A,alpha3,zeta5,split,same,pro,cw,+,cw,1,w,ne,pro,cw,,cw,0,e,s,1
A,alpha3,gamma14,split,same,pro,cw,-,cw,1,w,nw,pro,cw,+,cw,1,e,sw,2
A,alpha3,alpha4,split,same,pro,cw,-,cw,1,w,nw,pro,cw,-,cw,1,e,se,2
A,alpha3,zeta13,split,same,pro,cw,-,cw,1,w,nw,pro,cw,,cw,0,e,s,1
A,alpha3,zeta14,split,same,pro,cw,,cw,0,w,n,pro,cw,+,cw,1,e,sw,1
A,alpha3,zeta4,split,same,pro,cw,,cw,0,w,n,pro,cw,-,cw,1,e,se,1
A,alpha5,alpha8,split,same,pro,cw,+,cw,1,n,se,pro,cw,+,cw,1,s,nw,2
A,alpha5,gamma6,split,same,pro,cw,+,cw,1,n,se,pro,cw,-,cw,1,s,sw,2
A,alpha5,zeta7,split,same,pro,cw,+,cw,1,n,se,pro,cw,,cw,0,s,w,1
A,alpha5,gamma16,split,same,pro,cw,-,cw,1,n,ne,pro,cw,+,cw,1,s,nw,2
A,alpha5,alpha6,split,same,pro,cw,-,cw,1,n,ne,pro,cw,-,cw,1,s,sw,2
A,alpha5,zeta15,split,same,pro,cw,-,cw,1,n,ne,pro,cw,,cw,0,s,w,1
A,alpha5,zeta16,split,same,pro,cw,,cw,0,n,e,pro,cw,+,cw,1,s,nw,1
A,alpha5,zeta6,split,same,pro,cw,,cw,0,n,e,pro,cw,-,cw,1,s,sw,1
A,alpha7,alpha2,split,same,pro,cw,+,cw,1,e,sw,pro,cw,+,cw,1,w,ne,2
