letter,startPosition,endPosition,timing,direction,blueMotionType,blueRotationDirection,blueStartLocation,blueEndLocation,redMotionType,redRotationDirection,redStartLocation,redEndLocation
G,beta1,beta2,tog,same,pro,cw,n,se,pro,cw,n,se
G,beta1,beta3,tog,same,pro,ccw,n,sw,pro,ccw,n,sw
G,beta2,beta3,tog,same,pro,cw,se,sw,pro,cw,se,sw
G,beta2,beta1,tog,same,pro,ccw,se,n,pro,ccw,se,n
G,beta3,beta1,tog,same,pro,cw,sw,n,pro,cw,sw,n
G,beta3,beta2,tog,same,pro,ccw,sw,se,pro,ccw,sw,se
H,beta1,beta2,tog,same,anti,cw,n,se,anti,cw,n,se
H,beta1,beta3,tog,same,anti,ccw,n,sw,anti,ccw,n,sw
H,beta2,beta3,tog,same,anti,cw,se,sw,anti,cw,se,sw
H,beta2,beta1,tog,same,anti,ccw,se,n,anti,ccw,se,n
H,beta3,beta1,tog,same,anti,cw,sw,n,anti,cw,sw,n
H,beta3,beta2,tog,same,anti,ccw,sw,se,anti,ccw,sw,se
I,beta1,beta2,tog,same,pro,cw,n,se,anti,cw,n,se
I,beta1,beta3,tog,same,pro,ccw,n,sw,anti,ccw,n,sw
I,beta2,beta3,tog,same,pro,cw,se,sw,anti,cw,se,sw
I,beta2,beta1,tog,same,pro,ccw,se,n,anti,ccw,se,n
I,beta3,beta1,tog,same,pro,cw,sw,n,anti,cw,sw,n
I,beta3,beta2,tog,same,pro,ccw,sw,se,anti,ccw,sw,se
J,beta1,gamma4,tog,opp,pro,cw,n,se,pro,ccw,n,sw
J,beta1,gamma6,tog,opp,pro,ccw,n,sw,pro,cw,n,se
J,beta2,gamma5,tog,opp,pro,cw,se,sw,pro,ccw,se,n
J,beta2,gamma2,tog,opp,pro,ccw,se,n,pro,cw,se,sw
J,beta3,gamma1,tog,opp,pro,cw,sw,n,pro,ccw,sw,se
J,beta3,gamma3,tog,opp,pro,ccw,sw,se,pro,cw,sw,n
K,beta1,gamma4,tog,opp,anti,cw,n,se,anti,ccw,n,sw
K,beta1,gamma6,tog,opp,anti,ccw,n,sw,anti,cw,n,se
K,beta2,gamma5,tog,opp,anti,cw,se,sw,anti,ccw,se,n
K,beta2,gamma2,tog,opp,anti,ccw,se,n,anti,cw,se,sw
K,beta3,gamma1,tog,opp,anti,cw,sw,n,anti,ccw,sw,se
K,beta3,gamma3,tog,opp,anti,ccw,sw,se,anti,cw,sw,n
L,beta1,gamma4,tog,opp,pro,cw,n,se,anti,ccw,n,sw
L,beta1,gamma6,tog,opp,pro,ccw,n,sw,anti,cw,n,se
L,beta2,gamma5,tog,opp,pro,cw,se,sw,anti,ccw,se,n
L,beta2,gamma2,tog,opp,pro,ccw,se,n,anti,cw,se,sw
L,beta3,gamma1,tog,opp,pro,cw,sw,n,anti,ccw,sw,se
L,beta3,gamma3,tog,opp,pro,ccw,sw,se,anti,cw,sw,n
M,gamma1,gamma3,split,opp,pro,cw,n,se,pro,ccw,se,n
M,gamma2,gamma5,split,opp,pro,ccw,n,sw,pro,cw,sw,n
M,gamma3,gamma1,split,opp,pro,ccw,se,n,pro,cw,n,se
M,gamma4,gamma6,split,opp,pro,cw,se,sw,pro,ccw,sw,se
M,gamma5,gamma2,split,opp,pro,cw,sw,n,pro,ccw,n,sw
M,gamma6,gamma4,split,opp,pro,ccw,sw,se,pro,cw,se,sw
N,gamma1,gamma3,split,opp,anti,cw,n,se,anti,ccw,se,n
N,gamma2,gamma5,split,opp,anti,ccw,n,sw,anti,cw,sw,n
N,gamma3,gamma1,split,opp,anti,ccw,se,n,anti,cw,n,se
N,gamma4,gamma6,split,opp,anti,cw,se,sw,anti,ccw,sw,se
N,gamma5,gamma2,split,opp,anti,cw,sw,n,anti,ccw,n,sw
N,gamma6,gamma4,split,opp,anti,ccw,sw,se,anti,cw,se,sw
O,gamma1,gamma3,split,opp,pro,cw,n,se,anti,ccw,se,n
O,gamma2,gamma5,split,opp,pro,ccw,n,sw,anti,cw,sw,n
O,gamma3,gamma1,split,opp,pro,ccw,se,n,anti,cw,n,se
O,gamma4,gamma6,split,opp,pro,cw,se,sw,anti,ccw,sw,se
O,gamma5,gamma2,split,opp,pro,cw,sw,n,anti,ccw,n,sw
O,gamma6,gamma4,split,opp,pro,ccw,sw,se,anti,cw,se,sw
P,gamma1,gamma4,split,same,pro,cw,n,se,pro,cw,se,sw
P,gamma1,gamma5,split,same,pro,ccw,n,sw,pro,ccw,se,n
P,gamma2,gamma3,split,same,pro,cw,n,se,pro,cw,sw,n
P,gamma2,gamma6,split,same,pro,ccw,n,sw,pro,ccw,sw,se
P,gamma3,gamma6,split,same,pro,cw,se,sw,pro,cw,n,se
P,gamma3,gamma2,split,same,pro,ccw,se,n,pro,ccw,n,sw
P,gamma4,gamma5,split,same,pro,cw,se,sw,pro,cw,sw,n
P,gamma4,gamma1,split,same,pro,ccw,se,n,pro,ccw,sw,se
P,gamma5,gamma1,split,same,pro,cw,sw,n,pro,cw,n,se
P,gamma5,gamma4,split,same,pro,ccw,sw,se,pro,ccw,n,sw
P,gamma6,gamma2,split,same,pro,cw,sw,n,pro,cw,se,sw
P,gamma6,gamma3,split,same,pro,ccw,sw,se,pro,ccw,se,n
Q,gamma1,gamma4,split,same,anti,cw,n,se,anti,cw,se,sw
Q,gamma1,gamma5,split,same,anti,ccw,n,sw,anti,ccw,se,n
